Time,Channel,Volume
1702068261.7911365,0,1
1702068262.5924885,1,1
1702068632.6905525,1,2
1702068633.2195146,1,3
1702068634.4372563,2,3
1702069060.1030626,0,1
1702069061.6738553,1,1
1702070760.0979018,0,1
1702070760.2495391,0,2
1702070760.9804869,1,2
1702070761.1341891,2,2
1702070775.4680905,0,1
1702070775.6210413,0,2
1702070775.7803452,0,3
1702070776.5192668,1,3
1702070776.686487,2,3
